member_id,cluster,cost,decision_score,value,uplift_score,p_control,p_treat,reward_app_activity,population_fit,preferred_offer_type,maturity_flag,total_spend,frequency,recency_h
CE235B5491EB4A21857A5DE3355A310B,High-Value Responsive,3.5,41.2896,110.7256,0.4045,0.3895,0.794,1.0,1.0,Mixed,mature,996.53,9,60
7A153A17D9754D3686C37684146FB681,Dormant Value Customers,4.0,40.9234,451.47,0.0995,0.269,0.3685,0.0,0.0,Mixed,thin_history,902.94,2,306
8D31A8A4B5D24B10A54DA118855F7132,High-Value Responsive,3.5,40.0115,140.1533,0.3105,0.4899,0.8004,0.5,1.0,Mixed,mature,840.92,6,126
D2565B7E3AB348CAA9727445E0892DD5,High-Value Responsive,3.5,39.7129,127.654,0.3385,0.4126,0.7511,1.0,1.0,Mixed,mature,638.27,5,0
BECF045D910A4676ADC86BB2053165CF,High-Value Responsive,3.5,39.0485,124.0729,0.3429,0.4597,0.8026,1.0,0.6,Mixed,mature,868.51,7,78
01DE69B5EDAB4B89859EA8A7214BA35A,High-Value Responsive,3.5,38.666,109.4114,0.3854,0.3975,0.7829,0.5714,1.0,Mixed,mature,765.88,7,42
72238C93BDFB4272A1F104A59CCC3A37,Dormant Value Customers,4.0,38.6183,187.1725,0.2277,0.2406,0.4683,0.0,0.0,Mixed,thin_history,748.69,4,54
4AFE1AA2C8194D9E92EF51AA892D4A53,High-Value Responsive,3.5,38.5004,122.22,0.3436,0.4813,0.8249,1.0,0.8,Mixed,mature,977.76,8,42
1EED89C11CC749A4BB93D8CEF032821D,High-Value Responsive,3.5,38.3121,99.5962,0.4198,0.2984,0.7182,0.375,1.0,Mixed,thin_history,796.77,8,42
DC736654F1FB4C499F907880699D1233,High-Value Responsive,3.5,38.1836,90.479,0.4607,0.3724,0.8331,0.7,1.0,Mixed,mature,904.79,10,18
D17651704645434C91E0758290EF14B0,Dormant Value Customers,4.0,37.8759,166.41,0.2516,0.3554,0.607,0.4,0.6667,Mixed,mature,832.05,5,144
F47051CAD4844338BE9332C33DDBA9EF,High-Value Responsive,3.5,37.4188,112.3089,0.3643,0.4098,0.7742,0.7778,1.0,Mixed,mature,1010.78,9,0
2BE369A184C5446DA2AC9563B36370B9,Dormant Value Customers,4.0,37.4036,130.19,0.318,0.4566,0.7746,0.6,0.75,Mixed,mature,650.95,5,126
585A0BBFEBA2460FAAC73D8E4F98E1A6,High-Value Responsive,3.5,37.2292,95.847,0.4249,0.3811,0.806,1.0,1.0,Mixed,mature,958.47,10,60
52959F19113E4241A8CB3BEF486C6412,High-Value Responsive,3.5,36.5898,107.7383,0.3721,0.44,0.8121,0.8333,1.0,Mixed,mature,1292.86,12,18
7561A0A081E64E118BBC78818C890AB7,High-Value Responsive,3.5,35.5224,166.0125,0.2351,0.5247,0.7598,1.0,1.0,Mixed,mature,664.05,4,18
10F7AF1A6EB943E58C133D1043866C35,High-Value Responsive,3.5,34.9673,103.668,0.3711,0.413,0.7841,1.0,1.0,Mixed,mature,1036.68,10,42
1611963423FA42E3B470E2372366F159,Dormant Value Customers,4.0,34.9653,135.966,0.2866,0.5266,0.8132,1.0,0.6667,Mixed,mature,679.83,5,168
411DF4B79900411C959C0CB5FA1A7564,Dormant Value Customers,4.0,33.9763,111.5025,0.3406,0.5031,0.8437,1.0,0.75,Mixed,mature,892.02,8,258
25ADC7B5AB704FCC9F8777ED914234FF,High-Value Responsive,3.5,33.6942,155.3017,0.2395,0.3605,0.6,1.0,1.0,Mixed,mature,931.81,6,18
05BEDC6BBCC64A41B1745F6EFE00776D,High-Value Responsive,3.5,33.3989,127.6578,0.289,0.4546,0.7437,0.8889,1.0,Mixed,mature,1148.92,9,174
6D86FA31D7BB49A1BE3197271181D5CF,Dormant Value Customers,4.0,32.9853,234.63,0.1576,0.3211,0.4788,0.3333,0.5,Mixed,mature,703.89,3,204
547BE58788CF4AE495506D1DCC0CB2FE,High-Value Responsive,3.5,32.8149,115.9275,0.3133,0.4952,0.8084,1.0,0.6,Mixed,mature,927.42,8,30
BFCE6D50205A4F6982D87CE80E5D5356,Dormant Value Customers,4.0,32.4702,200.4633,0.1819,0.5618,0.7437,1.0,1.0,Mixed,mature,601.39,3,114
8807861D85F24D7C8D888F33E96D940E,High-Value Responsive,3.5,31.4023,89.6238,0.3894,0.43,0.8194,0.375,1.0,Mixed,mature,716.99,8,54
C18566C8D89149A3B87F828A6E22B47B,High-Value Responsive,3.5,31.0614,100.057,0.3454,0.427,0.7724,0.9,1.0,Mixed,mature,1000.57,10,48
017FEBBE52E64AC19CF28CF0D44386E4,High-Value Responsive,3.5,30.8793,100.341,0.3426,0.4215,0.7641,1.0,0.75,Mixed,mature,1003.41,10,168
29655CBA61A04D079EFDE18203B4F232,High-Value Responsive,3.5,30.6799,100.498,0.3401,0.4707,0.8108,0.8,0.8,Mixed,mature,1004.98,10,0
7C8479D8241344F6A0C306621E191C75,Dormant Value Customers,4.0,30.6553,162.9233,0.2127,0.5225,0.7352,1.0,0.6667,Mixed,mature,488.77,3,132
F709ACA8C4E54792B438CADDFF279FE5,High-Value Responsive,3.5,28.8887,99.7522,0.3247,0.4783,0.803,0.8889,0.8,Mixed,mature,897.77,9,108
882346BFC610473C8505199A5179D302,Dormant Value Customers,4.0,28.7894,127.185,0.2578,0.3857,0.6435,0.5,0.5,Mixed,mature,508.74,4,114
E82B833C88B84840AF1F58D7E006579A,High-Value Responsive,3.5,28.6413,101.8738,0.3155,0.4249,0.7404,1.0,1.0,Mixed,mature,814.99,8,84
73ADECA7DF934D9A888DDFCDAAD2DFF0,Dormant Value Customers,4.0,28.5076,231.2667,0.1406,0.2751,0.4157,0.0,0.0,Mixed,thin_history,693.8,3,24
23DFCDB8237347DCA870BF78D7FA823C,High-Value Responsive,3.5,28.3878,96.2036,0.3315,0.4675,0.799,0.9091,1.0,Mixed,mature,1058.24,11,228
4BB5F51772484E36A52AA567B680327D,High-Value Responsive,3.5,28.3346,78.445,0.4058,0.3648,0.7706,0.625,1.0,Mixed,thin_history,627.56,8,18
EC8E29CEA5E24A7D91896AFB4C6C00C2,Dormant Value Customers,4.0,27.7639,154.7125,0.2053,0.3902,0.5955,1.0,1.0,Mixed,mature,618.85,4,282
CD10BA15BE244A36A61DC4256E7D6F6B,High-Value Responsive,3.5,27.6078,89.1275,0.349,0.4723,0.8214,0.9167,1.0,Mixed,mature,1069.53,12,198
F3EA5B7C75BB41CBA87EF3195CAF2AB4,High-Value Responsive,3.5,27.5591,89.7933,0.3459,0.4411,0.787,1.0,1.0,Mixed,mature,538.76,6,102
CA715B3F17E24692B18F3CD90B9BF232,High-Value Responsive,3.5,27.2437,111.878,0.2748,0.4887,0.7634,1.0,1.0,Mixed,mature,1118.78,10,126
CEA97A52BDDC4A0E9C6C54F30C78253B,High-Value Responsive,3.5,25.9349,174.778,0.1684,0.4525,0.6209,0.8,1.0,Mixed,mature,873.89,5,120
DE9F480F3CD54696A343FDFC6555DD57,High-Value Responsive,3.5,25.8703,101.9544,0.2881,0.5405,0.8286,1.0,0.6,Mixed,mature,917.59,9,186
B1B341E9BE7B4C3380451A8071957029,High-Value Responsive,3.5,25.601,74.5844,0.3902,0.4288,0.819,0.3333,1.0,Mixed,thin_history,671.26,9,72
B154F8F9417F40C886244E2847C32F72,Dormant Value Customers,4.0,24.6333,108.9067,0.2629,0.4789,0.7418,0.3333,0.3333,Mixed,mature,653.44,6,168
DCE784E26F294101999D000FAD9089BB,High-Value Responsive,3.5,24.3648,164.5514,0.1693,0.6052,0.7745,0.8571,0.8,Mixed,mature,1151.86,7,156
41ED54800A2042988866ECD7D971E2E5,High-Value Responsive,3.5,23.5514,79.2942,0.3412,0.4397,0.7808,0.8333,1.0,Mixed,mature,951.53,12,6
2F62FE8C53E04F828E25F57DF9D56282,High-Value Responsive,3.5,23.5307,86.0891,0.314,0.4963,0.8102,1.0,0.75,Mixed,mature,946.98,11,300
C4137A37C33446F2A22F59282865F6C5,Dormant Value Customers,4.0,23.5254,75.47,0.3647,0.3354,0.7001,1.0,1.0,Mixed,thin_history,150.94,2,228
6B44B3E1ADE7466FB73824B4898F8716,High-Value Responsive,3.5,23.4321,79.82,0.3374,0.4564,0.7938,0.1667,1.0,Mixed,thin_history,478.92,6,0
1EAB10BFE6E84352813A29EF0001F2F2,High-Value Responsive,3.5,22.8274,123.76,0.2127,0.5749,0.7876,0.875,1.0,Mixed,mature,990.08,8,66
C35D2009F1A1434FB4F59658F14AD0EC,High-Value Responsive,3.5,22.5661,99.515,0.2619,0.475,0.7369,1.0,0.8,Mixed,mature,796.12,8,12
9C28B2B1733B498BADFE66E26101FA50,Dormant Value Customers,4.0,22.3786,110.895,0.2379,0.4699,0.7078,0.75,0.6667,Mixed,mature,443.58,4,144
85DA22CE7B74421090EBE459EFEF9958,High-Value Responsive,3.5,22.3317,91.48,0.2824,0.4949,0.7773,1.0,0.8,Mixed,mature,823.32,9,54
04F1F44632CD409CACE939FA62B5FC7A,Dormant Value Customers,4.0,22.2994,122.0133,0.2155,0.5666,0.7822,1.0,0.4,Mixed,mature,732.08,6,36
658338D6AC9742DD9FF8A67675E2B3F6,High-Value Responsive,3.5,22.153,68.1525,0.3764,0.4515,0.828,1.0,1.0,Mixed,mature,817.83,12,12
E37A0BA3DB6544CAAD344622B4F82670,High-Value Responsive,3.5,22.0657,94.5109,0.2705,0.5275,0.798,0.9091,1.0,Mixed,mature,1039.62,11,54
CA3ED3E47A1E4CEEA8DCD8B2BBAF1076,High-Value Responsive,3.5,21.9742,63.5418,0.4009,0.4146,0.8155,0.8824,1.0,Mixed,mature,1080.21,17,108
019ED95D987446E3947DA0246CDAB831,Dormant Value Customers,4.0,21.9736,64.3862,0.4034,0.4293,0.8327,0.875,0.6667,Mixed,mature,515.09,8,150
8F6CD6D39D694147BDA234A38368D99D,High-Value Responsive,3.5,21.5805,124.255,0.2018,0.4929,0.6947,1.0,1.0,Mixed,mature,745.53,6,0
ACDF9A19B60D4C13AD594EBCB6B23EB9,High-Value Responsive,3.5,21.2377,96.5578,0.2562,0.5534,0.8096,1.0,1.0,Mixed,mature,869.02,9,36
FA38365493E34DDEAD796E2A183BD8B5,High-Value Responsive,3.5,21.1728,86.5908,0.2849,0.5541,0.839,0.9167,1.0,Mixed,mature,1039.09,12,0
6B2B97B27010464EB55E3C9CE06EC585,High-Value Responsive,3.5,20.7738,59.2823,0.4095,0.4164,0.8258,0.6923,1.0,Mixed,thin_history,770.67,13,204
1C05E4A68FC04D3DA27454CB7EAA6144,High-Value Responsive,3.5,20.5853,122.1422,0.1972,0.5825,0.7797,0.7778,1.0,Mixed,mature,1099.28,9,126
1E1BBC0184534A5180015C5E138EF85A,High-Value Responsive,3.5,20.574,93.855,0.2565,0.3919,0.6484,0.8333,1.0,Mixed,mature,563.13,6,0
E93FB1A740EF4F6FA8F98D7C82492AD0,Dormant Value Customers,4.0,20.5321,82.07,0.2989,0.4839,0.7828,1.0,0.25,Mixed,thin_history,164.14,2,144
E7F53EB7ABA343E09C8975E998CDF0A6,High-Value Responsive,3.5,20.4553,108.724,0.2203,0.5084,0.7288,1.0,0.8,Mixed,mature,1087.24,10,54
756CE344D7BE4595BB4BAB1646D2EE8D,Dormant Value Customers,4.0,20.4139,93.4367,0.2613,0.5462,0.8075,0.5,0.6667,Mixed,mature,560.62,6,66
645BDEE43B0F43899320FCB0B427084C,High-Value Responsive,3.5,20.33,72.525,0.3286,0.4317,0.7602,1.0,1.0,Mixed,mature,725.25,10,114
DF0F7B3282B047B79713A6D86FBCEBA5,High-Value Responsive,3.5,20.2153,75.8778,0.3125,0.4765,0.7891,1.0,1.0,Mixed,mature,682.9,9,36
A435B1A742F14417B79B342A22A48C45,Dormant Value Customers,4.0,20.0897,96.11,0.2506,0.5507,0.8013,0.3333,0.0,Mixed,mature,288.33,3,252
D167940F7AF04F4681DAAA6D1BFD80A1,High-Value Responsive,3.5,19.7501,118.8886,0.1956,0.5561,0.7516,1.0,0.8333,Mixed,mature,832.22,7,132
08A5ADF50A9B40A9B5BB24019D0A55FC,High-Value Responsive,3.5,19.573,109.5071,0.2107,0.3915,0.6022,0.7143,0.75,Mixed,mature,766.55,7,6
FEF91996598444BDBE6C9805FBA34048,Dormant Value Customers,4.0,19.517,61.9043,0.3799,0.4759,0.8558,0.5714,1.0,Mixed,thin_history,433.33,7,174
FD64A230EA2F4062BE6CEC5D0B69540E,High-Value Responsive,3.5,19.5095,52.431,0.4389,0.4693,0.9081,0.5,1.0,Mixed,thin_history,524.31,10,54
7366BEF4C288476DAB78B09A33D0E692,Dormant Value Customers,4.0,19.5018,62.0117,0.379,0.4922,0.8712,0.1667,1.0,Mixed,thin_history,372.07,6,126
75878D70993C4963AB658BACAE8D2002,High-Value Responsive,3.5,19.3598,65.373,0.3497,0.478,0.8277,0.9,1.0,Mixed,mature,653.73,10,6
19AFB26B9A10447A8A2F86FA9F65C75D,High-Value Responsive,3.5,18.9935,66.81,0.3367,0.4779,0.8146,1.0,1.0,Mixed,mature,734.91,11,126
591223B3A2FA436C823836732F45DFB5,High-Value Responsive,3.5,18.9747,61.403,0.366,0.5254,0.8915,0.8,1.0,Mixed,mature,614.03,10,30
6DADE9E548494AEAA2574E3B08380B13,High-Value Responsive,3.5,18.7848,67.827,0.3286,0.4222,0.7508,0.8,0.75,Mixed,mature,678.27,10,42
39287B12A7834648BA2193874E34EB67,Dormant Value Customers,4.0,18.4881,134.734,0.1669,0.4313,0.5983,0.4,0.4,Mixed,mature,673.67,5,240
E0570660882B49DB860B43F704E5590B,High-Value Responsive,3.5,18.3814,65.836,0.3324,0.5369,0.8693,0.9333,1.0,Mixed,mature,987.54,15,66
C0BBC13872474C63A83E8B503BB88F72,High-Value Responsive,3.5,18.1977,97.8,0.2219,0.5709,0.7928,0.8182,1.0,Mixed,mature,1075.8,11,6
B923EF146C9D48518EDC006F611F0F5C,High-Value Responsive,3.5,18.1229,76.7607,0.2817,0.3863,0.668,0.7857,1.0,Mixed,mature,1074.65,14,60
C9C1BDEE4A0C40A08DE73EDC089EFFC0,High-Value Responsive,3.5,18.0494,75.595,0.2851,0.5457,0.8307,0.875,1.0,Mixed,mature,604.76,8,96
F4E953EC3A484683935D8D42216FD11E,High-Value Responsive,3.5,18.0284,77.1479,0.2791,0.3831,0.6622,0.9286,1.0,Mixed,mature,1080.07,14,174
3C7108E2CF594134AC0BB027E040AFB5,High-Value Responsive,3.5,18.0029,129.9088,0.1655,0.4722,0.6377,0.875,1.0,Mixed,mature,1039.27,8,24
5EA3A25585C1450F951021FFFE2E4237,High-Value Responsive,3.5,17.8634,101.7911,0.2099,0.545,0.7549,1.0,0.8,Mixed,mature,916.12,9,126
F4994572197D4310BF922576D5A8D132,High-Value Responsive,3.5,17.7549,60.3129,0.3524,0.5071,0.8595,0.7143,1.0,Mixed,mature,844.38,14,42
2663C7215B864922B7C1675CB9C626F3,High-Value Responsive,3.5,17.7446,68.6467,0.3095,0.3617,0.6712,0.5556,0.75,Mixed,mature,617.82,9,90
6406ABAD8E2C4B8584E4F68003DE148D,High-Value Responsive,3.5,17.6673,100.98,0.2096,0.5909,0.8006,1.0,1.0,Mixed,mature,1211.76,12,96
6172E41C53B94070A9CF21E6103F6B3D,High-Value Responsive,3.5,17.6356,69.7083,0.3032,0.4809,0.7841,1.0,1.0,Mixed,mature,418.25,6,18
2A1CB179FD8F4DC8B44949EECED7D7B1,High-Value Responsive,3.5,17.5848,61.5942,0.3423,0.505,0.8473,0.8333,1.0,Mixed,mature,739.13,12,18
8C6B2A81CB294C28B740E9C459AB7767,High-Value Responsive,3.5,17.1953,96.2292,0.2151,0.5824,0.7975,1.0,1.0,Mixed,mature,1154.75,12,6
3C8D541112A74AF99E88ABBD0692F00E,High-Value Responsive,3.5,17.1487,201.0862,0.1027,0.4567,0.5594,1.0,1.0,Mixed,mature,1608.69,8,54
FFF3BA4757BD42088C044CA26D73817A,High-Value Responsive,3.5,17.0449,52.8164,0.389,0.3968,0.7858,1.0,0.75,Mixed,mature,580.98,11,162
454B00BDD77C4F588EB9F6CAFD81DC5D,Dormant Value Customers,4.0,16.5779,271.995,0.0757,0.2786,0.3543,0.25,1.0,Mixed,thin_history,1087.98,4,24
E92C066A94254377A9D931033A4AE260,High-Value Responsive,3.5,16.2652,102.9856,0.1919,0.5821,0.774,0.8889,1.0,Mixed,mature,926.87,9,24
7106E78BB41F4E5FAB74C2C9CF1E459F,High-Value Responsive,3.5,16.1763,88.8818,0.2214,0.5629,0.7843,0.9091,1.0,Mixed,mature,977.7,11,24
471938C318674A30AFEA015BE6396CBD,High-Value Responsive,3.5,16.0795,84.752,0.231,0.3908,0.6218,1.0,0.8,Mixed,mature,847.52,10,0
722861F1006E4BD19439516CCE98FBFD,High-Value Responsive,3.5,16.0105,63.275,0.3083,0.5411,0.8494,0.6,1.0,Mixed,mature,632.75,10,48
626DF8678E2A4953B9098246418C9CFA,High-Value Responsive,3.5,15.9847,101.6477,0.1917,0.5785,0.7702,0.9231,1.0,Mixed,mature,1321.42,13,54
35055FF4289447DF8C93739196163B01,High-Value Responsive,3.5,15.812,64.5333,0.2993,0.3807,0.68,0.6667,1.0,Mixed,mature,774.4,12,0
56A02AABB8CB4568B9B86998C0B5369C,High-Value Responsive,3.5,15.709,56.0308,0.3428,0.3995,0.7424,0.8462,1.0,Mixed,mature,728.4,13,48
8FB5F8A4896644DDA0EC623373676483,Dormant Value Customers,4.0,15.2968,78.428,0.246,0.3901,0.6362,0.6,0.6667,Mixed,mature,392.14,5,90
1F72799B1A53458F9615837F6C7EADDD,Dormant Value Customers,4.0,15.1944,48.2575,0.3977,0.536,0.9337,0.625,0.5,Mixed,mature,386.06,8,48
D240308DE0EE4CF8BB6072816268582B,High-Value Responsive,3.5,15.0372,89.4279,0.2073,0.5711,0.7784,1.0,1.0,Mixed,mature,1251.99,14,84
0E18338DB3524564870A52EE5CFE68A4,High-Value Responsive,3.5,14.8915,45.6173,0.4032,0.4501,0.8532,0.6,1.0,Mixed,thin_history,684.26,15,180
9ED20A4ECDF94CC99D52F6FD6A07B363,High-Value Responsive,3.5,14.6821,52.9708,0.3432,0.5621,0.9053,0.8333,0.75,Mixed,mature,635.65,12,144
05C64CE569DB467A939173B41889A77A,High-Value Responsive,3.5,14.4291,79.2769,0.2262,0.5726,0.7988,0.8462,0.8333,Mixed,mature,1030.6,13,150
EFA8DD634F544EF99A6FCA10C60629C6,High-Value Responsive,3.5,14.3953,68.9542,0.2595,0.4404,0.6999,0.8333,1.0,Mixed,mature,827.45,12,48
4FE72DAA82624A3E8970D096F5F72F25,High-Value Responsive,3.5,14.2617,62.09,0.2861,0.3459,0.632,0.5,1.0,Mixed,mature,496.72,8,6
490CA12F690D413AAF75D08C56067EA4,High-Value Responsive,3.5,14.2561,102.714,0.1729,0.5896,0.7624,0.9,1.0,Mixed,mature,1027.14,10,162
75D248BE69924F96ABE06B644DD0B1C6,High-Value Responsive,3.5,14.0723,50.624,0.3471,0.5697,0.9168,1.0,1.0,Mixed,mature,506.24,10,6
E17FA42CB91043C9915A52A94C5E11FD,High-Value Responsive,3.5,14.0047,49.246,0.3555,0.4179,0.7733,0.9,0.75,Mixed,mature,492.46,10,12
4625E6EFD16E4DC5948837DEF0090CDB,High-Value Responsive,3.5,13.9545,63.3091,0.2757,0.5959,0.8716,0.8182,1.0,Mixed,mature,696.4,11,6
EFB2C8C6351B423B97BC5508BA62DFDE,Low-Value Low-Response,0.0,13.9257,33.6867,0.4134,0.395,0.8084,0.0,0.0,No paid offer preference,mature,101.06,3,24
72C8C0516A79419CAC2C8F7F8FBAA14C,High-Value Responsive,3.5,13.7444,50.4894,0.3415,0.4952,0.8367,0.8333,1.0,Mixed,mature,908.81,18,78
5DFDAD4241764DFE959F51B7460E42B1,High-Value Responsive,3.5,13.5813,139.0825,0.1228,0.5222,0.645,0.5,1.0,Mixed,mature,1112.66,8,102
F4698EE1109F4BAF8D255297C8EFD354,High-Value Responsive,3.5,13.5698,60.986,0.2799,0.5593,0.8392,0.2,0.5,Mixed,mature,609.86,10,0
633815975DA245BB83537702F1FFA118,High-Value Responsive,3.5,13.3572,79.3623,0.2124,0.5933,0.8058,1.0,1.0,Mixed,mature,1031.71,13,60
D53717F5400C4E84AFFDAEDA9DD926B3,Dormant Value Customers,4.0,13.3266,53.5275,0.3237,0.5261,0.8498,1.0,0.6667,Mixed,mature,428.22,8,90
573B1978DCB242D49F287B15C1C73AB3,High-Value Responsive,3.5,13.2908,49.1331,0.3417,0.4684,0.8101,0.5625,1.0,Mixed,mature,786.13,16,0
4169CC2F33C24B429BEF7B33124B0D16,Dormant Value Customers,4.0,13.2853,35.505,0.4868,0.3267,0.8136,0.5,0.6667,Mixed,mature,213.03,6,132
F0B93802DED54D7F8695E27ED4009A42,Thin-History Low-Activity,1.0,13.1272,28.115,0.5025,0.2964,0.7989,0.0,0.0,No paid offer preference,thin_history,56.23,2,372
E72AD19D4F6C4827B69B55C5E3A55BBA,High-Value Responsive,3.5,12.9908,74.7109,0.2207,0.5873,0.8081,0.9091,1.0,Mixed,mature,821.82,11,84
43F9776020C542C293D8B296A33EA91F,Dormant Value Customers,4.0,12.9862,143.87,0.1181,0.5094,0.6274,1.0,0.3333,Mixed,mature,431.61,3,216
76E4C32F141F4BD1B1A905CF6B28BCFA,Thin-History Low-Activity,1.0,12.8121,29.77,0.464,0.3264,0.7904,1.0,0.5,No paid offer preference,thin_history,29.77,1,228
5231AF830B174AEF98790A75B95F00F3,Dormant Value Customers,4.0,12.7783,40.27,0.4166,0.4065,0.8232,1.0,0.75,Mixed,mature,120.81,3,90
940C174894734049A18B0770794D3EA3,High-Value Responsive,3.5,12.7274,76.075,0.2133,0.6736,0.8869,0.875,1.0,Mixed,mature,608.6,8,72
946FC0D3ECC4492AA4CC06CF6B1492C3,High-Value Responsive,3.5,12.7114,72.4941,0.2236,0.6002,0.8238,0.9412,1.0,Mixed,mature,1232.4,17,12
A4C2DD694269444085976F10B9B225F6,High-Value Responsive,3.5,12.6695,91.7088,0.1763,0.7062,0.8825,1.0,0.6,Mixed,mature,733.67,8,0
E5577291EA424ED2B73957BDBFD295AB,High-Value Responsive,3.5,12.6629,71.9418,0.2247,0.5829,0.8075,1.0,0.8,Mixed,mature,791.36,11,36
85727EBD2E324B60839C149682294BA7,High-Value Responsive,3.5,12.6546,53.945,0.2995,0.4084,0.7079,0.75,1.0,Mixed,mature,431.56,8,144
8569444509E1462ABE0310CBBD323A86,Thin-History Low-Activity,1.0,12.626,35.41,0.3848,0.4429,0.8277,1.0,0.3333,No paid offer preference,thin_history,35.41,1,72
72A6A2E611C04533BEC280D3700FBF3D,Thin-History Low-Activity,1.0,12.1369,30.86,0.4257,0.3833,0.809,1.0,0.5,No paid offer preference,thin_history,61.72,2,216
2C4E9F96A5AC4DF69BA3B26C194AB5B7,Low-Value Low-Response,0.0,12.0151,25.576,0.4698,0.3089,0.7787,0.0,0.0,No paid offer preference,thin_history,127.88,5,210
4937E1347BFF497D85A9C9A3794FAE46,High-Value Responsive,3.5,12.004,33.514,0.4626,0.353,0.8156,0.6,0.5,Mixed,mature,167.57,5,6
362858EC6F754AD39C3DFD0923A677F2,Thin-History Low-Activity,1.0,12.0002,30.965,0.4198,0.3406,0.7604,0.5,0.5,No paid offer preference,thin_history,61.93,2,156
